	SubjectID1	SubjectID2	Group1	Group2	Distance
0	MN1Mar5	MN1Mar13	post	post	0.599655684
1	MN28Feb4	MN1Mar13	post	post	0.462611008
2	MN28Feb4	MN1Mar5	post	post	0.665672354
3	MN1Mar9	MN1Mar13	post	post	0.660234885
4	MN1Mar9	MN1Mar5	post	post	0.660507611
5	MN1Mar9	MN28Feb4	post	post	0.538752621
6	MN1Mar15	MN1Mar13	post	post	0.754683212
7	MN1Mar15	MN1Mar5	post	post	0.747132119
8	MN1Mar15	MN28Feb4	post	post	0.676854109
9	MN1Mar15	MN1Mar9	post	post	0.328890177
10	MN3Mar3	MN1Mar13	post	post	0.439685002
11	MN3Mar3	MN1Mar5	post	post	0.458912165
12	MN3Mar3	MN28Feb4	post	post	0.498355123
13	MN3Mar3	MN1Mar9	post	post	0.406293146
14	MN3Mar3	MN1Mar15	post	post	0.583581911
15	MN1Mar3	MN1Mar13	post	post	0.43961682
16	MN1Mar3	MN1Mar5	post	post	0.390577326
17	MN1Mar3	MN28Feb4	post	post	0.577854671
18	MN1Mar3	MN1Mar9	post	post	0.595735252
19	MN1Mar3	MN1Mar15	post	post	0.70647894
20	MN1Mar3	MN3Mar3	post	post	0.411628343
21	MN28Feb2	MN1Mar13	post	post	0.660115568
22	MN28Feb2	MN1Mar5	post	post	0.289566537
23	MN28Feb2	MN28Feb4	post	post	0.655683775
24	MN28Feb2	MN1Mar9	post	post	0.703905091
25	MN28Feb2	MN1Mar15	post	post	0.807319277
26	MN28Feb2	MN3Mar3	post	post	0.519747047
27	MN28Feb2	MN1Mar3	post	post	0.52179249
28	MN28Feb3	MN1Mar13	post	post	0.546303714
29	MN28Feb3	MN1Mar5	post	post	0.597201152
30	MN28Feb3	MN28Feb4	post	post	0.502088056
31	MN28Feb3	MN1Mar9	post	post	0.32854927
32	MN28Feb3	MN1Mar15	post	post	0.412599928
33	MN28Feb3	MN3Mar3	post	post	0.347145755
34	MN28Feb3	MN1Mar3	post	post	0.508088022
35	MN28Feb3	MN28Feb2	post	post	0.638467963
36	MN3Mar7	MN1Mar13	post	post	0.473963216
37	MN3Mar7	MN1Mar5	post	post	0.548110522
38	MN3Mar7	MN28Feb4	post	post	0.384815995
39	MN3Mar7	MN1Mar9	post	post	0.35476503
40	MN3Mar7	MN1Mar15	post	post	0.507167573
41	MN3Mar7	MN3Mar3	post	post	0.35381049
42	MN3Mar7	MN1Mar3	post	post	0.472020045
43	MN3Mar7	MN28Feb2	post	post	0.606047693
44	MN3Mar7	MN28Feb3	post	post	0.34312305
45	MN1Mar8	MN1Mar13	post	post	0.382276237
46	MN1Mar8	MN1Mar5	post	post	0.546849166
47	MN1Mar8	MN28Feb4	post	post	0.342066238
48	MN1Mar8	MN1Mar9	post	post	0.508786882
49	MN1Mar8	MN1Mar15	post	post	0.636200931
50	MN1Mar8	MN3Mar3	post	post	0.376617178
51	MN1Mar8	MN1Mar3	post	post	0.430020284
52	MN1Mar8	MN28Feb2	post	post	0.611416981
53	MN1Mar8	MN28Feb3	post	post	0.460190567
54	MN1Mar8	MN3Mar7	post	post	0.29543014
55	MN1Mar4	MN1Mar13	post	post	0.636371384
56	MN1Mar4	MN1Mar5	post	post	0.649138357
57	MN1Mar4	MN28Feb4	post	post	0.580036477
58	MN1Mar4	MN1Mar9	post	post	0.358293419
59	MN1Mar4	MN1Mar15	post	post	0.428946426
60	MN1Mar4	MN3Mar3	post	post	0.479929091
61	MN1Mar4	MN1Mar3	post	post	0.565070653
62	MN1Mar4	MN28Feb2	post	post	0.730956074
63	MN1Mar4	MN28Feb3	post	post	0.350571872
64	MN1Mar4	MN3Mar7	post	post	0.439565684
65	MN1Mar4	MN1Mar8	post	post	0.5439685
66	MN1Mar6	MN1Mar13	post	post	0.43554298
67	MN1Mar6	MN1Mar5	post	post	0.407690865
68	MN1Mar6	MN28Feb4	post	post	0.556462747
69	MN1Mar6	MN1Mar9	post	post	0.617348765
70	MN1Mar6	MN1Mar15	post	post	0.724189067
71	MN1Mar6	MN3Mar3	post	post	0.347520753
72	MN1Mar6	MN1Mar3	post	post	0.345185539
73	MN1Mar6	MN28Feb2	post	post	0.485127925
74	MN1Mar6	MN28Feb3	post	post	0.511377776
75	MN1Mar6	MN3Mar7	post	post	0.462099647
76	MN1Mar6	MN1Mar8	post	post	0.399696593
77	MN1Mar6	MN1Mar4	post	post	0.592172772
78	MN1Mar14	MN1Mar13	post	post	0.457156493
79	MN1Mar14	MN1Mar5	post	post	0.547343481
80	MN1Mar14	MN28Feb4	post	post	0.486150647
81	MN1Mar14	MN1Mar9	post	post	0.421241925
82	MN1Mar14	MN1Mar15	post	post	0.544871904
83	MN1Mar14	MN3Mar3	post	post	0.358395691
84	MN1Mar14	MN1Mar3	post	post	0.48511088
85	MN1Mar14	MN28Feb2	post	post	0.648354271
86	MN1Mar14	MN28Feb3	post	post	0.355736615
87	MN1Mar14	MN3Mar7	post	post	0.302026693
88	MN1Mar14	MN1Mar8	post	post	0.415821501
89	MN1Mar14	MN1Mar4	post	post	0.379668297
90	MN1Mar14	MN1Mar6	post	post	0.4736564
91	MN1Mar11	MN1Mar13	post	post	0.539178755
92	MN1Mar11	MN1Mar5	post	post	0.41006017
93	MN1Mar11	MN28Feb4	post	post	0.631445276
94	MN1Mar11	MN1Mar9	post	post	0.507593707
95	MN1Mar11	MN1Mar15	post	post	0.578689894
96	MN1Mar11	MN3Mar3	post	post	0.403889751
97	MN1Mar11	MN1Mar3	post	post	0.30211192
98	MN1Mar11	MN28Feb2	post	post	0.559991136
99	MN1Mar11	MN28Feb3	post	post	0.424838495
100	MN1Mar11	MN3Mar7	post	post	0.521383401
101	MN1Mar11	MN1Mar8	post	post	0.501798285
102	MN1Mar11	MN1Mar4	post	post	0.443571343
103	MN1Mar11	MN1Mar6	post	post	0.433292993
104	MN1Mar11	MN1Mar14	post	post	0.487037005
105	MN1Mar12	MN1Mar13	post	post	0.367054733
106	MN1Mar12	MN1Mar5	post	post	0.476946154
107	MN1Mar12	MN28Feb4	post	post	0.450440622
108	MN1Mar12	MN1Mar9	post	post	0.490531304
109	MN1Mar12	MN1Mar15	post	post	0.619087392
110	MN1Mar12	MN3Mar3	post	post	0.261151925
111	MN1Mar12	MN1Mar3	post	post	0.376668314
112	MN1Mar12	MN28Feb2	post	post	0.537951489
113	MN1Mar12	MN28Feb3	post	post	0.374997869
114	MN1Mar12	MN3Mar7	post	post	0.378458077
115	MN1Mar12	MN1Mar8	post	post	0.355071846
116	MN1Mar12	MN1Mar4	post	post	0.494468781
117	MN1Mar12	MN1Mar6	post	post	0.358395691
118	MN1Mar12	MN1Mar14	post	post	0.399935228
119	MN1Mar12	MN1Mar11	post	post	0.394975029
120	MN28Feb5	MN1Mar13	post	post	0.527945864
121	MN28Feb5	MN1Mar5	post	post	0.580326248
122	MN28Feb5	MN28Feb4	post	post	0.540917381
123	MN28Feb5	MN1Mar9	post	post	0.427344163
124	MN28Feb5	MN1Mar15	post	post	0.469429151
125	MN28Feb5	MN3Mar3	post	post	0.378816029
126	MN28Feb5	MN1Mar3	post	post	0.493616514
127	MN28Feb5	MN28Feb2	post	post	0.662774643
128	MN28Feb5	MN28Feb3	post	post	0.348918472
129	MN28Feb5	MN3Mar7	post	post	0.442275896
130	MN28Feb5	MN1Mar8	post	post	0.469889376
131	MN28Feb5	MN1Mar4	post	post	0.446844052
132	MN28Feb5	MN1Mar6	post	post	0.496514224
133	MN28Feb5	MN1Mar14	post	post	0.435014574
134	MN28Feb5	MN1Mar11	post	post	0.386435304
135	MN28Feb5	MN1Mar12	post	post	0.378287623
136	MN28Feb7	MN1Mar13	post	post	0.655394003
137	MN28Feb7	MN1Mar5	post	post	0.727632229
138	MN28Feb7	MN28Feb4	post	post	0.580019432
139	MN28Feb7	MN1Mar9	post	post	0.355054801
140	MN28Feb7	MN1Mar15	post	post	0.364037704
141	MN28Feb7	MN3Mar3	post	post	0.478923415
142	MN28Feb7	MN1Mar3	post	post	0.65261561
143	MN28Feb7	MN28Feb2	post	post	0.761927489
144	MN28Feb7	MN28Feb3	post	post	0.365980875
145	MN28Feb7	MN3Mar7	post	post	0.475139346
146	MN28Feb7	MN1Mar8	post	post	0.571070619
147	MN28Feb7	MN1Mar4	post	post	0.39386708
148	MN28Feb7	MN1Mar6	post	post	0.643854296
149	MN28Feb7	MN1Mar14	post	post	0.484105204
150	MN28Feb7	MN1Mar11	post	post	0.543951455
151	MN28Feb7	MN1Mar12	post	post	0.504286907
152	MN28Feb7	MN28Feb5	post	post	0.316924336
153	MN1Mar13	MN9Mar1	post	pre	0.346327578
154	MN1Mar13	MN10Mar9	post	pre	0.478599553
155	MN1Mar13	MN8Mar2	post	pre	0.385293265
156	MN1Mar13	MN10Mar8	post	pre	0.696081272
157	MN1Mar13	MN9Mar3	post	pre	0.566042238
158	MN1Mar13	MN8Mar1	post	pre	0.497588082
159	MN1Mar13	MN10Mar4	post	pre	0.340617383
160	MN1Mar13	MN8Mar6	post	pre	0.394685257
161	MN1Mar13	MN9Mar7	post	pre	0.581212607
162	MN1Mar13	MN9Mar2	post	pre	0.433991852
163	MN1Mar13	MN9Mar6	post	pre	0.367446776
164	MN1Mar13	MN9Mar8	post	pre	0.784495543
165	MN1Mar13	MN9Mar4	post	pre	0.517667513
166	MN1Mar13	MN3Mar8	post	pre	0.536621951
167	MN1Mar13	MN10Mar2	post	pre	0.650058806
168	MN1Mar13	MN8Mar3	post	pre	0.505889171
169	MN1Mar13	MN8Mar8	post	pre	0.578792166
170	MN1Mar13	MN8Mar5	post	pre	0.494264237
171	MN1Mar5	MN9Mar1	post	pre	0.588712564
172	MN1Mar5	MN10Mar9	post	pre	0.290810848
173	MN1Mar5	MN8Mar2	post	pre	0.65261561
174	MN1Mar5	MN10Mar8	post	pre	0.711166414
175	MN1Mar5	MN9Mar3	post	pre	0.687098369
176	MN1Mar5	MN8Mar1	post	pre	0.476537065
177	MN1Mar5	MN10Mar4	post	pre	0.574991051
178	MN1Mar5	MN8Mar6	post	pre	0.499957387
179	MN1Mar5	MN9Mar7	post	pre	0.550479827
180	MN1Mar5	MN9Mar2	post	pre	0.59827501
181	MN1Mar5	MN9Mar6	post	pre	0.593382992
182	MN1Mar5	MN9Mar8	post	pre	0.7648252
183	MN1Mar5	MN9Mar4	post	pre	0.655462185
184	MN1Mar5	MN3Mar8	post	pre	0.655019006
185	MN1Mar5	MN10Mar2	post	pre	0.695075596
186	MN1Mar5	MN8Mar3	post	pre	0.516286839
187	MN1Mar5	MN8Mar8	post	pre	0.391276186
188	MN1Mar5	MN8Mar5	post	pre	0.696251726
189	MN28Feb4	MN9Mar1	post	pre	0.558218419
190	MN28Feb4	MN10Mar9	post	pre	0.613121516
191	MN28Feb4	MN8Mar2	post	pre	0.272640496
192	MN28Feb4	MN10Mar8	post	pre	0.626433941
193	MN28Feb4	MN9Mar3	post	pre	0.508872109
194	MN28Feb4	MN8Mar1	post	pre	0.655274686
195	MN28Feb4	MN10Mar4	post	pre	0.441798626
196	MN28Feb4	MN8Mar6	post	pre	0.609882898
197	MN28Feb4	MN9Mar7	post	pre	0.618814666
198	MN28Feb4	MN9Mar2	post	pre	0.381219425
199	MN28Feb4	MN9Mar6	post	pre	0.370327441
200	MN28Feb4	MN9Mar8	post	pre	0.714251624
201	MN28Feb4	MN9Mar4	post	pre	0.432338453
202	MN28Feb4	MN3Mar8	post	pre	0.43102596
203	MN28Feb4	MN10Mar2	post	pre	0.592820495
204	MN28Feb4	MN8Mar3	post	pre	0.623416912
205	MN28Feb4	MN8Mar8	post	pre	0.601172721
206	MN28Feb4	MN8Mar5	post	pre	0.52465611
207	MN1Mar9	MN9Mar1	post	pre	0.724598156
208	MN1Mar9	MN10Mar9	post	pre	0.619343072
209	MN1Mar9	MN8Mar2	post	pre	0.587468253
210	MN1Mar9	MN10Mar8	post	pre	0.22467486
211	MN1Mar9	MN9Mar3	post	pre	0.313702763
212	MN1Mar9	MN8Mar1	post	pre	0.54349123
213	MN1Mar9	MN10Mar4	post	pre	0.418599894
214	MN1Mar9	MN8Mar6	post	pre	0.694427873
215	MN1Mar9	MN9Mar7	post	pre	0.50203692
216	MN1Mar9	MN9Mar2	post	pre	0.502411918
217	MN1Mar9	MN9Mar6	post	pre	0.515417526
218	MN1Mar9	MN9Mar8	post	pre	0.442139533
219	MN1Mar9	MN9Mar4	post	pre	0.401776126
220	MN1Mar9	MN3Mar8	post	pre	0.299469889
221	MN1Mar9	MN10Mar2	post	pre	0.234833893
222	MN1Mar9	MN8Mar3	post	pre	0.530979938
223	MN1Mar9	MN8Mar8	post	pre	0.433821399
224	MN1Mar9	MN8Mar5	post	pre	0.447287231
225	MN1Mar15	MN9Mar1	post	pre	0.810813575
226	MN1Mar15	MN10Mar9	post	pre	0.717353879
227	MN1Mar15	MN8Mar2	post	pre	0.709172107
228	MN1Mar15	MN10Mar8	post	pre	0.309833467
229	MN1Mar15	MN9Mar3	post	pre	0.373617195
230	MN1Mar15	MN8Mar1	post	pre	0.694683553
231	MN1Mar15	MN10Mar4	post	pre	0.509451651
232	MN1Mar15	MN8Mar6	post	pre	0.795353435
233	MN1Mar15	MN9Mar7	post	pre	0.525116335
234	MN1Mar15	MN9Mar2	post	pre	0.636183885
235	MN1Mar15	MN9Mar6	post	pre	0.65977466
236	MN1Mar15	MN9Mar8	post	pre	0.341623059
237	MN1Mar15	MN9Mar4	post	pre	0.55300254
238	MN1Mar15	MN3Mar8	post	pre	0.474014352
239	MN1Mar15	MN10Mar2	post	pre	0.310515281
240	MN1Mar15	MN8Mar3	post	pre	0.586990983
241	MN1Mar15	MN8Mar8	post	pre	0.490446077
242	MN1Mar15	MN8Mar5	post	pre	0.482843847
243	MN3Mar3	MN9Mar1	post	pre	0.558815007
244	MN3Mar3	MN10Mar9	post	pre	0.411849933
245	MN3Mar3	MN8Mar2	post	pre	0.456304226
246	MN3Mar3	MN10Mar8	post	pre	0.428810064
247	MN3Mar3	MN9Mar3	post	pre	0.439378185
248	MN3Mar3	MN8Mar1	post	pre	0.355890023
249	MN3Mar3	MN10Mar4	post	pre	0.331003801
250	MN3Mar3	MN8Mar6	post	pre	0.472821177
251	MN3Mar3	MN9Mar7	post	pre	0.403685206
252	MN3Mar3	MN9Mar2	post	pre	0.392707996
253	MN3Mar3	MN9Mar6	post	pre	0.371401299
254	MN3Mar3	MN9Mar8	post	pre	0.618218078
255	MN3Mar3	MN9Mar4	post	pre	0.458843984
256	MN3Mar3	MN3Mar8	post	pre	0.367702456
257	MN3Mar3	MN10Mar2	post	pre	0.468576883
258	MN3Mar3	MN8Mar3	post	pre	0.427293027
259	MN3Mar3	MN8Mar8	post	pre	0.32785041
260	MN3Mar3	MN8Mar5	post	pre	0.425247584
261	MN1Mar3	MN9Mar1	post	pre	0.385787581
262	MN1Mar3	MN10Mar9	post	pre	0.251640616
263	MN1Mar3	MN8Mar2	post	pre	0.555559343
264	MN1Mar3	MN10Mar8	post	pre	0.65452469
265	MN1Mar3	MN9Mar3	post	pre	0.59592275
266	MN1Mar3	MN8Mar1	post	pre	0.295310822
267	MN1Mar3	MN10Mar4	post	pre	0.446145192
268	MN1Mar3	MN8Mar6	post	pre	0.299163073
269	MN1Mar3	MN9Mar7	post	pre	0.454974688
270	MN1Mar3	MN9Mar2	post	pre	0.477406378
271	MN1Mar3	MN9Mar6	post	pre	0.501696013
272	MN1Mar3	MN9Mar8	post	pre	0.723575434
273	MN1Mar3	MN9Mar4	post	pre	0.562462713
274	MN1Mar3	MN3Mar8	post	pre	0.53658786
275	MN1Mar3	MN10Mar2	post	pre	0.614229465
276	MN1Mar3	MN8Mar3	post	pre	0.404776109
277	MN1Mar3	MN8Mar8	post	pre	0.390645508
278	MN1Mar3	MN8Mar5	post	pre	0.607257913
279	MN28Feb2	MN9Mar1	post	pre	0.676206385
280	MN28Feb2	MN10Mar9	post	pre	0.483917705
281	MN28Feb2	MN8Mar2	post	pre	0.669405287
282	MN28Feb2	MN10Mar8	post	pre	0.748751428
283	MN28Feb2	MN9Mar3	post	pre	0.720217499
284	MN28Feb2	MN8Mar1	post	pre	0.568922904
285	MN28Feb2	MN10Mar4	post	pre	0.644655428
286	MN28Feb2	MN8Mar6	post	pre	0.415378322
287	MN28Feb2	MN9Mar7	post	pre	0.622445327
288	MN28Feb2	MN9Mar2	post	pre	0.628104386
289	MN28Feb2	MN9Mar6	post	pre	0.640530452
290	MN28Feb2	MN9Mar8	post	pre	0.82988733
291	MN28Feb2	MN9Mar4	post	pre	0.679564321
292	MN28Feb2	MN3Mar8	post	pre	0.692927881
293	MN28Feb2	MN10Mar2	post	pre	0.749825285
294	MN28Feb2	MN8Mar3	post	pre	0.635672525
295	MN28Feb2	MN8Mar8	post	pre	0.506281214
296	MN28Feb2	MN8Mar5	post	pre	0.71815501
297	MN28Feb3	MN9Mar1	post	pre	0.617502173
298	MN28Feb3	MN10Mar9	post	pre	0.514275487
299	MN28Feb3	MN8Mar2	post	pre	0.497144903
300	MN28Feb3	MN10Mar8	post	pre	0.365060426
301	MN28Feb3	MN9Mar3	post	pre	0.348492338
302	MN28Feb3	MN8Mar1	post	pre	0.494298328
303	MN28Feb3	MN10Mar4	post	pre	0.299486935
304	MN28Feb3	MN8Mar6	post	pre	0.585593264
305	MN28Feb3	MN9Mar7	post	pre	0.407656775
306	MN28Feb3	MN9Mar2	post	pre	0.436872518
307	MN28Feb3	MN9Mar6	post	pre	0.467895069
308	MN28Feb3	MN9Mar8	post	pre	0.504014182
309	MN28Feb3	MN9Mar4	post	pre	0.436633883
310	MN28Feb3	MN3Mar8	post	pre	0.310822098
311	MN28Feb3	MN10Mar2	post	pre	0.311793683
312	MN28Feb3	MN8Mar3	post	pre	0.397242061
